Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
,,,,"(Role VIEWER J 3B) GetFile Drive,Zip","(Role VIEWER J 3B) GetFile Drive,Zip",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Drive,Zip",Role READ/DISCOVER P3
,,,,,,,"(Role VIEWER C) GetFile Drive,Zip",Modify Devices
,,,,,,,"(Role VIEWER E) GetFile Drive,Zip",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER B) GetFile Drive,Zip",Role VIEWER J 3B
,,,,,,,"(Role VIEWER G) GetFile Drive,Zip",Role VIEWER H
,,,,,,,"(Role VIEWER I) GetFile Drive,Zip",Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
DS Change Request,Change Requests,157912,0,For DSCR Only,For DSCR Only,DSCR Workflow,Read DS Change Request,DS Form Processing
,,,,DSCR Workflow,DSCR Workflow,,(Role DS FORM Processing) CS DSCR All Status,OpenManage
,,,,,,,Get DSCR,
,,,,,,,Modify DS Change Request,
,,,,,,,Create DSCR,
,,,,,,,Modify DSCR,
,,,,,,,Send DS Change Request,
,,,,,,,Create DS Change Request,
ECO,Change Orders,807384,10679,(Role DAO CMA) Modify GWF ECO @ Imp,(Role DAO CMA) Modify GWF ECO @ Imp,Retired_DAO/BCC CFI WF,(Role EMF CMA) Mod EMEA CM Status,ROLE MOD PARTS/CHANGES EMC ATTRIBUTES
,,,,(Role DAO CMA) CS - RWF ECO Cancel,(Role DAO CMA) CS - RWF ECO Cancel,FGCO ECO WF_OLD,Upgrade Supplier Access - Discover ECO,Type O Role
,,,,(Role DAO CMA) Mod ECO P3 EMEA Fields,(Role DAO CMA) Mod ECO P3 EMEA Fields,FGCO ECO WF,(Role EMF NPI) Mod EMEA Engineer,BulkUpdate Change Status Role
,,,,(Role DAO CMA) CS - RWF ECO Return,(Role DAO CMA) CS - RWF ECO Return,OLD--Global ECO WF,OLD_(Role EMF CMA & MATS CED) Mod EMEA Planner-Buyer,Global ODM NPI
,,,,(Role DAO CMA) CS - RWF ECO Route,(Role DAO CMA) CS - RWF ECO Route,OLD--Regional ECO WF,(Role EMF NPI) Mod EMEA Eng. Complete,Role SBOM SUPERUSER
,,,,ECO APCC Compellant CIB,ECO APCC Compellant CIB,GCS Workflow,FG Manual Cancel,Role MOD RFV RELEASERS AUTOMATION USER
,,,,ECO APCC Equallogic CIB,ECO APCC Equallogic CIB,Default Change Orders,CS - EMC Regional ECO Workflow - Route,ROLE EMC CM CHANGE STATUS
,,,,ECO APCC MID CIB,ECO APCC MID CIB,Regional ECO WF,CS - EMC Regional ECO Workflow - Return,Role DELL LEGAL
,,,,ECO APCC Software - Server And Other CIB,ECO APCC Software - Server And Other CIB,Global SWB Workflow,CS - EMC Regional ECO Workflow - Cancel,Type B Role - Exclude Competitor Template (INTEL)
,,,,(Role EMF CMA) Mod ECO P3 EMEA Fields,(Role EMF CMA) Mod ECO P3 EMEA Fields,EMC Regional ECO WF,ECM Modify P2 & P3 EMC ECO,Role SU VALIDATOR
,,,,(Role EMF CMA) Modify RWF ECO @ Imp,(Role EMF CMA) Modify RWF ECO @ Imp,2011toFY18_Global ECO WF,EMC Modify EMC ECO Eff Date,Type S Role
,,,,ECO APCC Alienware Desktop CIB,ECO APCC Alienware Desktop CIB,,(Role SU VALIDATOR) CS - GWF ECO 3 TRB to CIB,Type B Role - Exclude Competitor Template (AMD)
,,,,ECO APCC Alienware Notebook CIB,ECO APCC Alienware Notebook CIB,,(Role MOD CHANGES P3) Modify ECO P3,Type G Role
,,,,ECO APCC Cloud Products CIB,ECO APCC Cloud Products CIB,,OLD_Modify ECO Submit to Block for Block PjM,Role APCC/CCC CFI CMA
,,,,ECO CCC Alienware Notebook CIB,ECO CCC Alienware Notebook CIB,,Modify DAO BCC CFI WF or GCS WF ECO RFV,Role MOD CHANGES P3
,,,,ECO CCC Cloud Products CIB,ECO CCC Cloud Products CIB,,"(Role MOD ECO REGION AFFECTED) Mod ECO,Regions Affected",Type B Role - Exclude Competitor (EATON CORPORATION)
,,,,(Role EMF CMA) CS - RWF ECO Hold,(Role EMF CMA) CS - RWF ECO Hold,,(Role APCC CMA & MATS CED) Mod ECO APCC Eff Dates,Type B Role - Exclude Competitor (DELTA ELECTRONICS)
,,,,ECO CCC Compellant CIB,ECO CCC Compellant CIB,,(Role APCC CMA) Mod DCO APCC Eff Dates,Role CREATOR CFI
,,,,(Role EMF CMA) Modify RWF ECO @Rel,(Role EMF CMA) Modify RWF ECO @Rel,,(Role SU VALIDATOR) CS - RWF ECO 3 CIB to Release,Type B Role - Exclude Competitor (GIGA BYTE TECHNOLOGY)
,,,,ECO CCC Equallogic CIB,ECO CCC Equallogic CIB,,Exception-test,Role MOD RFV RELEASERS GLOBAL ECM
,,,,ECO APCC Software - Storage CIB,ECO APCC Software - Storage CIB,,CS - GSWBWF ECO Submit to Block,Role VIEWER H
,,,,ECO APCC SP CIB,ECO APCC SP CIB,,(Role SU VALIDATOR) CS - RWF ECO 2 Submit to CIB,Role VIEWER C
,,,,ECO APCC Tablet CIB,ECO APCC Tablet CIB,,ECO-WF-CHANGE STATUS,Role PGDS ANALYST
,,,,ECO CCC Alienware Desktop CIB,ECO CCC Alienware Desktop CIB,,Upgrade Supplier Access - GetFile ECO,Type B Role - Exclude Competitor (LITEON)
,,,,ECO CCC Tablet CIB,ECO CCC Tablet CIB,,Upgrade Supplier Access - PrintTab ECO,Role SUPERUSER
,,,,ECO CCC MID CIB,ECO CCC MID CIB,,CS - GSWBWF ECO Cancel,Type B Role - Exclude Competitor (LG ELECTRONICS)
,,,,ECO CCC Software - Server And Other CIB,ECO CCC Software - Server And Other CIB,,OLD_(Role EMF Buyers CED) Mod GWF/RWF ECO Eff Date,Type C
,,,,ECO CCC Software - Storage CIB,ECO CCC Software - Storage CIB,,(Role SU VALIDATOR) CS - GWF ECO 1 Pend to Submit,Type B Role
,,,,ECO DAO ODM Direct Ship,ECO DAO ODM Direct Ship,,Modify SWB ECO File Transfer Status,OLD_Role APCC CMA & MATS CED
,,,,ECO CCC SP CIB,ECO CCC SP CIB,,Modify SWB ECO Submit to Block,Exception-test
,,,,ECO BCC Optiplex CIB,ECO BCC Optiplex CIB,,Upgrade Supplier Access - Comment ECO,Type A Role
,,,,ECO BCC Dimension CIB,ECO BCC Dimension CIB,,(Role SU VALIDATOR) CS - GWF ECO 2 Submit to TRB,Type B Role - Exclude Competitor (NANYA TECHNOLOGY)
,,,,(Role CFI DAO CMA) Modify RWF ECO thru CIB,(Role CFI DAO CMA) Modify RWF ECO thru CIB,,Upgrade Supplier Access - Send ECO,OLD_Role CCC CMA & MATS CED
,,,,ECO BCC Server CIB,ECO BCC Server CIB,,(Role APCC CMA) CS - RWF-B ECO Cancel,Type B Role - Exclude Competitor (SAMSUNG RMSD)
,,,,ECO BCC Portable CIB,ECO BCC Portable CIB,,Add Approver ECO Submit to Block,OLD_Role DAO/BCC CMA & MATS CED
,,,,(Role APCC CMA) Add App/Obs ECO,(Role APCC CMA) Add App/Obs ECO,,OLD_Modify ECO Submit to Block,OLD_Role EMF CMA & MATS CED
,,,,For ECOs in DAO BCC CFI WF and GCS Workflow,For ECOs in DAO BCC CFI WF and GCS Workflow,,CS - GSWBWF ECO Release,Role Service BIOS SWB
,,,,(Role MOD CHANGES P3) Mod ECO P3 EMEA Fields,(Role MOD CHANGES P3) Mod ECO P3 EMEA Fields,,"(Role MOD ECO PROJ/PLATFORMS) Mod ECO,Project/Platforms Aff",Type B Role - Exclude Competitor (NEC)
,,,,EMC Hybrid Global ECO CL,EMC Hybrid Global ECO CL,,CS - GSWBWF ECO Submit,Role PMCT IT DEV
,,,,(Role CCC CMA) Remove App/Obs ECO,(Role CCC CMA) Remove App/Obs ECO,,(Role BCC CMA) CS - RWF-B ECO Cancel,Type B Role - Exclude Competitor (TEAC)
,,,,"GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - APCC,CCC,DAO,GLOBAL","GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - APCC,CCC,DAO,GLOBAL",,(Role APCC CMA) CS - RWF-B ECO Return,Role VIEWER E
,,,,GCS ECO 4 BCC CFI Cost Plan Auto Routing CCL - BCC,GCS ECO 4 BCC CFI Cost Plan Auto Routing CCL - BCC,,(Role APCC CMA) CS - RWF-B ECO Route,Type B Role - Exclude Competitor (SANMINA SCI)
,,,,GCS ECO 3 BCC CFI Cost Material Auto Routing CCL - BCC,GCS ECO 3 BCC CFI Cost Material Auto Routing CCL - BCC,,(Role APCC NPI) CS - RWF-B ECO Cancel,Type B Role - Exclude Competitor (XYRATEX)
,,,,GEA Notifications,GEA Notifications,,(Role CCC CMA) CS - RWF-B ECO Cancel,OLD_Role EMF Buyers CED
,,,,"GCS ECO 4 CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,GLOBAL","GCS ECO 4 CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,GLOBAL",,(Role BCC CMA) CS - RWF-B ECO Return,Role VIEWER I
,,,,EMC Processor Criteria,EMC Processor Criteria,,(Role BCC CMA) CS - RWF-B ECO Route,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"GCS ECO 4 CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL","GCS ECO 4 CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL",,Global WF ECO Staus Change,Role MOD RFV RELEASERS WPR EMC PJM
,,,,GCS ECO 3 CFI DAO Material Auto Routing CCL - DAO,GCS ECO 3 CFI DAO Material Auto Routing CCL - DAO,,(Role CREATOR) Create ECO,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL","GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL",,(Role BCC NPI) CS - RWF-B ECO Cancel,Role WPR CMA
,,,,"GCS ECO 4 CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL","GCS ECO 4 CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL",,(Role DAO CMA) CS - MCO WF-B.R Cancel,Type B Role - Exclude Competitor (QUANTA/SERVERS)
,,,,GCS ECO 4 CFI DAO Material Auto Routing CCL - DAO,GCS ECO 4 CFI DAO Material Auto Routing CCL - DAO,,(Role DAO CMA) CS - RWF-B ECO Cancel,Role ADD APPROVERS
,,,,"GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - BCC,DAO,GLOBAL","GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - BCC,DAO,GLOBAL",,OLD_(Role DAO/BCC CMA & MATS CED) Mod DAO Planner-Buyer,Role VIEWER G
,,,,GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - BCC,GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - BCC,,(Role CCC CMA) CS - RWF-B ECO Return,Role MOD ECO PROJ/PLATFORMS
,,,,"GCS ECO 4 CFI BCC DAO Cost Material Auto Routing CCL - BCC,DAO,GLOBAL","GCS ECO 4 CFI BCC DAO Cost Material Auto Routing CCL - BCC,DAO,GLOBAL",,(Role CCC CMA) CS - RWF-B ECO Route,Role ATTACH FILES ECO/MCO
,,,,GCS ECO 4 WW ENV Supplier Auto Routing CCL - BCC,GCS ECO 4 WW ENV Supplier Auto Routing CCL - BCC,,(Role CREATOR) Modify ECO Pending,Administrator
,,,,"GCS ECO 3 CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL","GCS ECO 3 CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL",,(Role CCC NPI) CS - RWF-B ECO Cancel,Role PG CMA
,,,,GCS ECO 4 WW ENV Supplier Auto Routing CCL - DAO,GCS ECO 4 WW ENV Supplier Auto Routing CCL - DAO,,(Role EMF CMA) CS - RWF-B ECO Cancel,Role VIEWER B
,,,,Global C4 ECO APJ Portable NPI,Global C4 ECO APJ Portable NPI,,(Role EMF CMA) CS - RWF-B ECO Hold,Role VIEWER K 3D1
,,,,"GCS ECO 4 WW ENV Supplier Auto Routing CCL - BCC,DAO,GLOBAL","GCS ECO 4 WW ENV Supplier Auto Routing CCL - BCC,DAO,GLOBAL",,(Role DAO CMA) CS - RWF-B ECO Return,Role CREATOR CHANGES-NON PRODUCTION PARTS
,,,,Global C4 ECO APJ Desktop NPI,Global C4 ECO APJ Desktop NPI,,(Role DAO CMA) CS - RWF-B ECO Route,FG BOM CONFIGURATOR(SYS)
,,,,"GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL","GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL",,(Role PG CMA) CS - RWF - B ECO Cancel,FG BOM VIEWER
,,,,Global C4 ECO APJ S&P NPI,Global C4 ECO APJ S&P NPI,,(Role PG CMA) CS - RWF-B ECO Hold,FG BOM IMPLEMENTOR
,,,,Processor Criteria,Processor Criteria,,(Role PG CMA) CS - RWF-B ECO Return,Role APCC CMA
,,,,"GCS ECO 4 WW ENV Supplier Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL","GCS ECO 4 WW ENV Supplier Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL",,(Role EMF CMA) CS - RWF-B ECO Return,Cancel ECOs
,,,,"GCS ECO 4 AMF Cost Plan Auto Routing CCL - APCC,CCC,DAO,GLOBAL","GCS ECO 4 AMF Cost Plan Auto Routing CCL - APCC,CCC,DAO,GLOBAL",,(Role EMF CMA) CS - RWF-B ECO Route,Role CCC CMA
,,,,PCBA Test,PCBA Test,,(Role PG CMA) CS - 2011toFY18 GWF-B ECO Return,Role BCC NPI
,,,,"GCS ECO 3 CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL","GCS ECO 3 CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL",,(Role PG CMA) CS - 2011toFY18 GWF-B ECO Route,Openmanage Viewer
,,,,"GCS ECO 4 WW ENV Supplier Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL","GCS ECO 4 WW ENV Supplier Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL",,(Role SU VALIDATOR) CS - RWF ECO 1 Pend to Submit,Role BCC CMA
,,,,GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - DAO,GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - DAO,,(Role PG PROJ PLNR) CS - RWF Submit to Block,Role APCC NPI
,,,,"GCS ECO 3 CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,GLOBAL","GCS ECO 3 CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,GLOBAL",,(Role PG PROJ PLNR) CS - RWF-B ECO Cancel,Role CREATOR
,,,,GCS ECO 4 CFI BCC Cost Material Auto Routing CCL - BCC,GCS ECO 4 CFI BCC Cost Material Auto Routing CCL - BCC,,(Role PG CMA) CS - RWF-B ECO Submit/CIB,OLD_Role BCC CMA & MATS CED
,,,,Global C4 ECO APJ Server NPI,Global C4 ECO APJ Server NPI,,Role SUPERUSER,Role MOD RFV RELEASERS PGCM
,,,,"GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL","GCS ECO 4 DAO CFI FINANCE Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL",,(Role PG PROJ PLNR) CS - GWF Submit to Block,Role CFI DAO CMA
,,,,"GCS ECO 3 CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL","GCS ECO 3 CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL",,(Role PG PROJ PLNR) CS - GWF-B ECO Cancel,Role Global CFI PM
,,,,"GCS ECO 4 AMF Cost Plan Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL","GCS ECO 4 AMF Cost Plan Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL",,Modify SWB ECO Submit to Block/Submitted,Role VIEWER A
,,,,"GCS ECO 4 AMF Cost Plan Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL","GCS ECO 4 AMF Cost Plan Auto Routing CCL - APCC, BCC,CCC,DAO,EMEA,GLOBAL",,(Role MOD RFV RELEASERS PGCM) Modify ECO RFV,Role GCMG NPI
,,,,FGBOM ECO FOXCONN BRAZIL xCO Notification,FGBOM ECO FOXCONN BRAZIL xCO Notification,,Modify SWB ECO thru TRB,Role MOD RFV RELEASERS PDS AND PMDM
,,,,(Role MOD RFV RELEASERS CCC) Modify ECO RFV,(Role MOD RFV RELEASERS CCC) Modify ECO RFV,,Modify SWB ECO thru Pending,Role MOD RFV RELEASERS APCC
,,,,GCS ECO 4 AMF Cost Plan Auto Routing CCL - DAO,GCS ECO 4 AMF Cost Plan Auto Routing CCL - DAO,,Modify SWB ECO Submitted,Role CCC NPI
,,,,"GCS ECO 4 AMF BCC CFI Cost Plan Auto Routing CCL - BCC,DAO,GLOBAL","GCS ECO 4 AMF BCC CFI Cost Plan Auto Routing CCL - BCC,DAO,GLOBAL",,CS - GSWBWF ECO Return,Role MOD RFV RELEASERS BCC
,,,,"GCS ECO 4 AMF Cost Plan Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL","GCS ECO 4 AMF Cost Plan Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL",,SBOM Modify ECO,Role DAO PROJ PLNR
,,,,ECO FOXCONN BRAZIL xCO Notification,ECO FOXCONN BRAZIL xCO Notification,,Upgrade Supplier Access - Read ECO STEPHEN GOULD CORP,Role EMF NPI
,,,,"GCS ECO 3 CFI BCC DAO Cost Material Auto Routing CCL - BCC,DAO,GLOBAL","GCS ECO 3 CFI BCC DAO Cost Material Auto Routing CCL - BCC,DAO,GLOBAL",,Upgrade Supplier Access - Discover ECO STEPHEN GOULD CORP,Role PG PROJ PLNR
,,,,ECO CFI FOXCONN xCO Notification,ECO CFI FOXCONN xCO Notification,,(Role APCC CMA) Add App/Obs ECO,Role VIEWER D
,,,,For ECO Only Exclude SBOM,For ECO Only Exclude SBOM,,(Role MOD RFV CREATORS) Modify ECO RFV,Role DAO CMA
,,,,BCC Portables NPI - S&P Not Dell LTG,BCC Portables NPI - S&P Not Dell LTG,,CS - GCSWF ECO Hold to Submitted/Review,Role EMF CMA
,,,,"GCS ECO 4 WW ENV Supplier Auto Routing CCL - APCC,CCC,DAO,GLOBAL","GCS ECO 4 WW ENV Supplier Auto Routing CCL - APCC,CCC,DAO,GLOBAL",,CS - GCSWF ECO Submitted/Review to Pending,Role MOD RFV RELEASERS CCC
,,,,"GCS ECO 4 CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL","GCS ECO 4 CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL",,Modify ECO Submit to Block for Block PjM,Role MOD RFV RELEASERS DAO
,,,,"GCS ECO 4 WW ENV Supplier Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL","GCS ECO 4 WW ENV Supplier Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL",,(Role ODM NPI) Data Migration,AEOP PROCESSOR
,,,,ECO APCC/CCC SNP NPI (None S&P LOB),ECO APCC/CCC SNP NPI (None S&P LOB),,CS - GCSWF ECO Submitted to Review,Role MOD RFV RELEASERS EMEA
,,,,ECO S&P Dell LTG DF CCL,ECO S&P Dell LTG DF CCL,,Modify GCS WF ECO thru Review,(Role APCC NPI) Data Migration
,,,,US Desktop ECO Prod Eng Rvw - S&P Not Dell LTG,US Desktop ECO Prod Eng Rvw - S&P Not Dell LTG,,(Role ECO Modify ECM Attributes) Modify ECM Attributes,(Role BCC NPI) Data Migration
,,,,US Desktop ECO Prod Eng Rvw - Not S&P,US Desktop ECO Prod Eng Rvw - Not S&P,,CS - GCSWF ECO Submitted/Review to Hold,Role MOD RFV CREATORS
,,,,BCC Portables NPI - Not S&P,BCC Portables NPI - Not S&P,,(Role EMC GWF Change Status) CS - CCB2 to CCB,Role BCC CMA & MATS CED
,,,,BCC Portables NPI - Dell LTG,BCC Portables NPI - Dell LTG,,(Role ECM EMC GWF Modify ECO P3 CCB2 ONLY) Modify ECO P3 CCB2,Role CCC CMA & MATS CED
,,,,ECO APCC/CCC SNP NPI - S&P not Dell LTG,ECO APCC/CCC SNP NPI - S&P not Dell LTG,,ADD START DATE (CCB),Role DAO/BCC CMA & MATS CED
,,,,ECO APCC/CCC SNP NPI - S&P and Dell LTG,ECO APCC/CCC SNP NPI - S&P and Dell LTG,,(Role Global ECM) Data Migration,Role ECO Modify ECM Attributes
,,,,US Desktop ECO Prod Eng Rvw - Dell LTG,US Desktop ECO Prod Eng Rvw - Dell LTG,,CS - GCSWF ECO Pending/Submitted/Review to Cancel,(Role CCC NPI) Data Migration
,,,,ECO CCB FS C4A - S&P And Dell LTG,ECO CCB FS C4A - S&P And Dell LTG,,(Role PGDS ANALYST) Mod ECO PGDS Fields,(Role DAO NPI) Data Migration
,,,,ECO CCB FS - S&P Not Dell LTG,ECO CCB FS - S&P Not Dell LTG,,GWF Change Status Pending to Submit,Type B Role - STEPHEN GOULD CORP
,,,,(Role BCC CMA) Modify RWF ECO thru CIB,(Role BCC CMA) Modify RWF ECO thru CIB,,(Role Global ECM) ADD REVIEWERS IN GWF LOCKED STATUS,(Role EMF NPI) Data Migration
,,,,(Role BCC CMA) Modify GWF ECO @CIB,(Role BCC CMA) Modify GWF ECO @CIB,,(Role Global ECM) REMOVE REVIEWERS IN GWF LOCKED STATUS,Role APCC CMA & MATS CED
,,,,(Role MOD RFV RELEASERS DAO) Modify ECO RFV,(Role MOD RFV RELEASERS DAO) Modify ECO RFV,,Modify GCS WF ECO RFV,(Role ODM NPI) Data Migration
,,,,EMC Regional ECO CL,EMC Regional ECO CL,,(Role MOD CHANGES P3) Modify EMC ECO P3 PGCM CCB Only,Role ECM GWF and EMC GWF Change Status
,,,,For CFI ECO Only,For CFI ECO Only,,ADD START DATE (CCB2),Role ECM GWF Modify ECO P3 CCB2 ONLY
,,,,(Role BCC CMA) CS - RWF ECO Route,(Role BCC CMA) CS - RWF ECO Route,,(Role APCC CMA) Remove App/Obs ECO,Role EMF Buyers CED
,,,,(Role PG CMA) Modify RWF ECO @Rel/Imp,(Role PG CMA) Modify RWF ECO @Rel/Imp,,Add Approvers/Observers GLOBAL ECO WF PENDING TO CCB,Role EMF CMA & MATS CED
,,,,(Role PG CMA) Modify GWF ECO @ Implemented,(Role PG CMA) Modify GWF ECO @ Implemented,,Remove Approvers/Observers GLOBAL ECO WF PENDING TO CCB,Role VIEWER F
,,,,(Role DAO PROJ PLNR) CS - RWF ECO Cancel,(Role DAO PROJ PLNR) CS - RWF ECO Cancel,,(BulkUpdate) CS - GCS WF - ECO Pending to Released,ACS Specific Role
,,,,(Role CCC CMA) Modify RWF ECO @Rel/Imp,(Role CCC CMA) Modify RWF ECO @Rel/Imp,,(Role GEA CM) MOD PG 3 GEA Fields,Role VIEWER J 3B
,,,,(Role PG CMA) Mod ECO P3 EMEA Fields,(Role PG CMA) Mod ECO P3 EMEA Fields,,(BulkUpdate) CS - Regional ECO WF Pending to CIB,(Role Global ECM) Data Migration
,,,,OLD_(Role EMF CMA & MATS CED) Mod EMEA Planner-Buyer,OLD_(Role EMF CMA & MATS CED) Mod EMEA Planner-Buyer,,(Role BCC CMA) Remove App/Obs ECO,Type O Role -Exclude Competitor (QISDA)
,,,,ECO Telecom Configuration Mgmt,ECO Telecom Configuration Mgmt,,(BulkUpdate) CS - EMC Global ECO WF Pending to CCB,Role Global ECM
,,,,For Unreleased ECOs in GCS WF,For Unreleased ECOs in GCS WF,,GLOBAL NPI Fields,Block Customization Role
,,,,(Role CCC CMA) Add App/Obs ECO,(Role CCC CMA) Add App/Obs ECO,,(Role BCC CMA) Add App/Obs ECO,Role BLOCK PJM
,,,,(Role DAO CMA) Modify GWF ECO @CIB,(Role DAO CMA) Modify GWF ECO @CIB,,(Role EMF NPI) Mod NPI Field,(Role Global ECM) ADD REVIEWERS IN GWF LOCKED STATUS
,,,,Global CL4A ECO,Global CL4A ECO,,(Role EMF CMA) Modify GWF ECO @ Imp,ECLERX CFI
,,,,Class 4A-fast track CL_and,Class 4A-fast track CL_and,,(Role APCC NPI) Modify NPI Fields,Role MOD RFV RELEASERS CFI CM
,,,,(Role EMF CMA) CS - RWF ECO Cancel,(Role EMF CMA) CS - RWF ECO Cancel,,(Role BCC NPI) Modify NPI Fields,(Role Global ECM) REMOVE REVIEWERS IN GWF LOCKED STATUS
,,,,Class 4A-fast track CL_or,Class 4A-fast track CL_or,,(BulkUpdate) CS - Global ECO WF Pending to CCB,(Role Global ECM) ADD START DATE (CCB)
,,,,(Role EMF CMA) CS - RWF ECO Route,(Role EMF CMA) CS - RWF ECO Route,,(Role EMF CMA) Modify RWF ECO @ Imp,Role SBOM AUTOMATION MODIFY CHANGES
,,,,Global ECO EMC WF @ CCB2,Global ECO EMC WF @ CCB2,,(Role CCC NPI) Mod NPI Fields,Role DAO PROD ENG
,,,,For pending ECOs in GCS WF,For pending ECOs in GCS WF,,ECO Change Status Pending to Submitted,Role MOD RFV CREATORS GCS WF MCO/ECO
,,,,For ECO CCB Only - EMC,For ECO CCB Only - EMC,,Modify ECO-JSON-APCC,Role SUPERUSER ADD START DATE (CCB2)
,,,,Modify ECO-JSON-EMEA,Modify ECO-JSON-EMEA,,Modify ECO-JSON-BCC,Type D Role
,,,,Modify ECO-JSON-BCC,Modify ECO-JSON-BCC,,(Role CCC CMA) Remove App/Obs ECO,Role MOD ECO REGION AFFECTED
,,,,Modify ECO-JSON-DAO,Modify ECO-JSON-DAO,,Modify ECO-JSON-CCC,Role COMPONENT ENGINEERING SERIES ONLY
,,,,Modify ECO-JSON-CCC,Modify ECO-JSON-CCC,,Modify ECO-JSON-DAO,Role Kafka
,,,,ECO Reg CCL US Client,ECO Reg CCL US Client,,(Role CCC CMA) Add App/Obs ECO,Role GROOVY SCRIPT
,,,,ECO Reg CCL US Server,ECO Reg CCL US Server,,(Role Kafka) Modify ECO,Role Add/Remove Approvers/Observers GLOBAL ECO WF PENDING TO CCB
,,,,"EMC ECO DAO 1,2,3 NPI - FRANKLIN SBOM Observers","EMC ECO DAO 1,2,3 NPI - FRANKLIN SBOM Observers",,Modify ECO-JSON-EMEA,Web Promotion
,,,,ECO Reg CCL WW Regulatory Comms Wireless,ECO Reg CCL WW Regulatory Comms Wireless,,(Role SUPERUSER) CS - RWF ECO 2 Submit to CIB,Mod GEA Status
,,,,"EMC ECO DAO 1,2,3 NPI - APEX SBOM Observers","EMC ECO DAO 1,2,3 NPI - APEX SBOM Observers",,(Role DAO CMA) Remove App/Obs ECO,Test2
,,,,ECO Reg CCL WW Regulatory Peripheral,ECO Reg CCL WW Regulatory Peripheral,,(Role SUPERUSER) CS - GWF ECO 2 Submit to TRB,Role PGIT
